Fuel_Type,Gearbox_Automatic,Gearbox_Manual,Gearbox_Semi-automatic,Mileage_km,Price,Year,Gears,Power_hp,Engine_Size_cc,Cylinders
0.0,0.0,1.0,0.0,30000.0,17300.0,2022.0,6.0,145.0,1398.0,5.0
0.0,0.0,1.0,0.0,14574.0,21900.0,2020.0,6.0,145.0,1368.0,5.0
0.0,0.0,1.0,0.0,138597.0,8990.0,2009.0,6.0,136.0,2275.0,5.0
0.0,0.0,1.0,0.0,46500.0,17990.0,2019.0,6.0,166.0,2275.0,5.0
1.0,1.0,0.0,0.0,595.0,32950.0,2025.0,6.0,237.0,2275.0,5.0
1.0,1.0,0.0,0.0,17990.0,34490.0,2023.0,6.0,156.0,2275.0,4.0
0.0,0.0,1.0,0.0,105000.0,14890.0,2013.0,6.0,179.0,2275.0,4.0
0.0,0.0,1.0,0.0,136500.0,11900.0,2012.0,6.0,179.0,1400.0,4.0
0.0,0.0,1.0,0.0,76000.0,12000.0,2012.0,6.0,163.0,2275.0,5.0
0.0,0.0,1.0,0.0,87500.0,14000.0,2010.0,6.0,179.0,2275.0,5.0
0.0,0.0,1.0,0.0,145000.0,12500.0,2010.0,6.0,179.0,1400.0,4.0
0.0,0.0,1.0,0.0,177500.0,8500.0,2015.0,6.0,179.0,2275.0,5.0
0.0,1.0,0.0,0.0,100000.0,10500.0,2013.0,6.0,160.0,2275.0,5.0
0.0,0.0,1.0,0.0,48550.0,13750.0,2015.0,6.0,160.0,2275.0,5.0
0.0,0.0,1.0,0.0,116000.0,13997.0,2010.0,6.0,179.0,2275.0,5.0
0.0,0.0,1.0,0.0,74000.0,13000.0,2019.0,6.0,160.0,2275.0,5.0
0.0,0.0,1.0,0.0,99000.0,11750.0,2019.0,6.0,160.0,2275.0,5.0
0.0,0.0,1.0,0.0,44035.0,16458.0,2020.0,6.0,165.0,2275.0,5.0
0.0,0.0,1.0,0.0,140000.0,8250.0,2012.0,6.0,163.0,2275.0,5.0
0.0,0.0,1.0,0.0,75000.0,14000.0,2018.0,6.0,165.0,1400.0,5.0
0.0,0.0,1.0,0.0,56000.0,21000.0,2021.0,6.0,179.0,2275.0,5.0
0.0,1.0,0.0,0.0,75000.0,14890.0,2017.0,6.0,166.0,2275.0,5.0
0.0,0.0,1.0,0.0,16500.0,19900.0,2009.0,6.0,160.0,2275.0,5.0
0.0,0.0,1.0,0.0,148000.0,16000.0,2013.0,6.0,179.0,2275.0,5.0
0.0,0.0,1.0,0.0,144000.0,11000.0,2015.0,6.0,218.0,2275.0,5.0
0.0,0.0,1.0,0.0,70000.0,14500.0,2018.0,6.0,165.0,2275.0,5.0
0.0,0.0,1.0,0.0,22990.0,19990.0,2011.0,6.0,179.0,1368.0,5.0
0.0,1.0,0.0,0.0,90000.0,16000.0,2018.0,6.0,181.0,2275.0,5.0
0.0,0.0,1.0,0.0,175000.0,8000.0,2010.0,6.0,135.0,2275.0,5.0
0.0,0.0,1.0,0.0,218000.0,6500.0,2015.0,6.0,136.0,2275.0,5.0
0.0,0.0,1.0,0.0,50000.0,17999.0,2021.0,6.0,179.0,2275.0,5.0
0.0,1.0,0.0,0.0,74900.0,14200.0,2019.0,6.0,160.0,2275.0,5.0
0.0,0.0,1.0,0.0,27000.0,21500.0,2021.0,6.0,179.0,2275.0,5.0
