combustible,transmision_automatica,transmision_automatica_secuencial,transmision_mecanica,anio,precio,kilometraje
1.0,0.0,1.0,0.0,2.025,3.49,0.07626
0.0,1.0,0.0,0.0,2.015,1.39,0.79717
1.0,1.0,0.0,0.0,2.022,3.299,0.68058
0.0,1.0,0.0,0.0,2.015,1.49,0.6897
0.0,0.0,1.0,0.0,2.014,3.49,0.86117
0.0,1.0,0.0,0.0,2.023,2.39,0.18
0.0,1.0,0.0,0.0,2.016,2.299,0.81744
0.0,0.0,0.0,1.0,2.024,1.99,0.19948
0.0,1.0,0.0,0.0,2.023,2.19,0.37323
0.0,0.0,1.0,0.0,2.02,3.49,0.54
0.0,0.0,1.0,0.0,2.02,2.59,0.75276
0.0,1.0,0.0,0.0,2.025,4.449,0.05
0.0,1.0,0.0,0.0,2.023,2.1,0.15076
0.0,1.0,0.0,0.0,2.02,2.3,0.73406
1.0,1.0,0.0,0.0,2.025,4.5,0.008
0.0,0.0,1.0,0.0,2.021,1.89,0.1
0.0,1.0,0.0,0.0,2.017,1.59,1.407
0.0,0.0,0.0,1.0,2.024,1.68,0.15393
0.0,1.0,0.0,0.0,2.02,2.89,0.61165
0.0,1.0,0.0,0.0,2.013,1.79,0.862
0.0,0.0,1.0,0.0,2.018,3.25,0.93495
0.0,0.0,0.0,1.0,2.017,1.29,0.32
0.0,0.0,0.0,1.0,2.021,1.49,1.159
0.0,1.0,0.0,0.0,2.023,3.749,0.243
0.0,1.0,0.0,0.0,2.024,4.499,0.121
0.0,0.0,1.0,0.0,2.017,1.69,0.512
0.0,1.0,0.0,0.0,2.018,4.4,0.678
0.0,0.0,1.0,0.0,2.025,1.99,0.00076
0.0,0.0,1.0,0.0,2.017,4.3,0.55
0.0,0.0,1.0,0.0,2.021,4.39,0.16
0.0,1.0,0.0,0.0,2.026,4.199,0.016
0.0,1.0,0.0,0.0,2.016,1.849,0.415
0.0,1.0,0.0,0.0,2.01,1.49,1.5259
0.0,0.0,1.0,0.0,2.025,3.25,0.15367
0.0,0.0,0.0,1.0,2.023,1.749,0.05292
1.0,1.0,0.0,0.0,2.026,2.8,0.01174
0.0,1.0,0.0,0.0,2.023,2.29,0.78093
1.0,0.0,0.0,1.0,2.025,1.899,0.0
0.0,0.0,0.0,1.0,2.023,1.6,0.033
0.0,0.0,0.0,1.0,2.014,3.99,0.02477
0.0,1.0,0.0,0.0,2.019,2.99,0.40362
0.0,1.0,0.0,0.0,2.016,0.89,1.2319
0.0,0.0,1.0,0.0,2.011,1.59,0.52939
0.0,0.0,1.0,0.0,2.021,2.79,1.398
1.0,1.0,0.0,0.0,2.021,2.15,0.76594
0.0,0.0,1.0,0.0,2.023,2.69,0.3462
0.0,1.0,0.0,0.0,2.02,2.7,1.33583
0.0,0.0,1.0,0.0,2.02,2.699,0.325
0.0,1.0,0.0,0.0,2.023,2.4,0.357
