anio,precio,kilometraje,transmision,combustible
2020.0,34900.0,54000.0,Automática - Secuencial,Gasolina
2020.0,25900.0,75276.0,Automática - Secuencial,Gasolina
2025.0,44490.0,5000.0,Automática,Gasolina
2023.0,21000.0,15076.0,Automática,Gasolina
2020.0,23000.0,73406.0,Automática,Gasolina
2025.0,45000.0,800.0,Automática,Otros
2021.0,18900.0,10000.0,Automática - Secuencial,Gasolina
2017.0,15900.0,140700.0,Automática,Gasolina
2024.0,16800.0,15393.0,Mecánica,Gasolina
2020.0,28900.0,61165.0,Automática,Gasolina
2013.0,17900.0,86200.0,Automática,Gasolina
2018.0,32500.0,93495.0,Automática - Secuencial,Gasolina
2017.0,12900.0,32000.0,Mecánica,Gasolina
2021.0,14900.0,115900.0,Mecánica,Gasolina
2023.0,37490.0,24300.0,Automática,Gasolina
2024.0,44990.0,12100.0,Automática,Gasolina
2017.0,16900.0,51200.0,Automática - Secuencial,Gasolina
2018.0,44000.0,67800.0,Automática,Gasolina
2025.0,19900.0,76.0,Automática - Secuencial,Gasolina
2017.0,43000.0,55000.0,Automática - Secuencial,Gasolina
2021.0,43900.0,16000.0,Automática - Secuencial,Gasolina
2026.0,41990.0,1600.0,Automática,Gasolina
2016.0,18490.0,41500.0,Automática,Gasolina
2010.0,14900.0,152590.0,Automática,Gasolina
2025.0,32500.0,15367.0,Automática - Secuencial,Gasolina
2023.0,17490.0,5292.0,Mecánica,Gasolina
2026.0,28000.0,1174.0,Automática,Otros
2023.0,22900.0,78093.0,Automática,Gasolina
2025.0,18990.0,0.0,Mecánica,Otros
2023.0,16000.0,3300.0,Mecánica,Gasolina
2014.0,39900.0,2477.0,Mecánica,Gasolina
2019.0,29900.0,40362.0,Automática,Gasolina
2016.0,8900.0,123190.0,Automática,Gasolina
2011.0,15900.0,52939.0,Automática - Secuencial,Gasolina
2021.0,27900.0,139800.0,Automática - Secuencial,Gasolina
2021.0,21500.0,76594.0,Automática,Otros
2023.0,26900.0,34620.0,Automática - Secuencial,Gasolina
2020.0,27000.0,133583.0,Automática,Gasolina
2020.0,26990.0,32500.0,Automática - Secuencial,Gasolina
2023.0,24000.0,35700.0,Automática,Gasolina
2024.0,36900.0,45122.0,Automática,Otros
