url_anuncio,imagen_auto,marca,titulo,anio,precio,kilometraje,transmision,combustible
https://neoauto.com/auto/seminuevo/mercedes-benz-glc-250-4matic-2017-1865693,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_9529992.webp,Mercedes-Benz,Mercedes Benz Glc 250 4matic 2017,2017,"US$26,900","57,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-318i-2017-1865043,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_6824348.webp,BMW,Bmw 318i 2017,2017,"US$19,900","45,812 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/toyota-corolla-cross-2025-1863902,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_9754459.webp,Toyota,Toyota Corolla Cross 2025,2025,"US$30,900","9,713 km",Automática,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/bmw-i4-2024-1803124,https://cdn.neoauto.com/elements/autos_usados/360x240/208604/208604_3343102.webp,BMW,Bmw I4 2024,2024,"US$76,991","2,284 km",Automática,Eléctrico
https://neoauto.com/auto/seminuevo/mercedes-benz-glc-200-coupe-2022-1841639,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_4030760.webp,Mercedes-Benz,Mercedes-Benz Glc 200 Coupe 2022,2022,"US$55,900","29,074 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/volvo-xc-90-2024-1866165,https://cdn.neoauto.com/elements/autos_usados/360x240/518808/518808_8224022.webp,Volvo,Volvo Xc-90 2024,2024,"US$63,990","13,173 km",Automática,Gasolina-Híbrido
https://neoauto.com/auto/seminuevo/cupra-cupra-leon-2026-1867589,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_8628444.webp,Cupra,Cupra Leon 2026,2026,"US$31,800","1,080 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/toyota-hilux-2022-1864361,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_3572185.webp,Toyota,Toyota Hilux 2022,2022,"US$31,500","27,118 km",Mecánica,Diesel
https://neoauto.com/auto/seminuevo/ssangyong-rodius-2020-1868908,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_2674381.webp,Ssangyong,Ssangyong Rodius 2020,2020,"US$13,900","120,600 km",Automática,Diesel
https://neoauto.com/auto/seminuevo/honda-cr-v-2023-1867108,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_2055449.webp,Honda,Honda Cr-V 2023,2023,"US$36,900","22,861 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/chevrolet-tahoe-2020-1869138,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_3933536.webp,Chevrolet,Chevrolet Tahoe 2020,2020,"US$44,900","44,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/bmw-x5-2022-1867106,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_1208564.webp,BMW,Bmw X5 2022,2022,"US$57,900","85,060 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/mazda-cx-9-2020-1869067,https://cdn.neoauto.com/elements/autos_usados/360x240/749844/749844_6901484.webp,Mazda,Mazda Cx-9 2020,2020,"US$23,900","76,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/volvo-xc-90-2020-1865395,https://cdn.neoauto.com/elements/autos_usados/360x240/237418/237418_6313785.webp,Volvo,Volvo Xc-90 2020,2020,"US$44,900","72,743 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/bmw-318is-2017-1866869,https://cdn.neoauto.com/elements/autos_usados/360x240/714661/714661_1020652.webp,BMW,Bmw 318is 2017,2017,"US$16,900","62,000 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/ford-f-150-raptor-2019-1869114,https://cdn.neoauto.com/elements/autos_usados/360x240/463366/463366_1011082.webp,Ford,Ford F-150 Raptor 2019,2019,"US$64,900","50,900 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/ford-edge-titanium-2020-1860161,https://cdn.neoauto.com/elements/autos_usados/360x240/490916/490916_1210432.webp,Ford,Ford Edge Titanium 2020,2020,"US$22,900","45,000 km",Automática,Gasolina
https://neoauto.com/auto/seminuevo/audi-s3-2023-1856307,https://cdn.neoauto.com/elements/autos_usados/360x240/113873/113873_1483851.webp,Audi,Audi S3 2023,2023,"US$58,900","11,626 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/bmw-x1-2024-1865579,https://cdn.neoauto.com/elements/autos_usados/360x240/114188/114188_1902907.webp,BMW,Bmw X1 2024,2024,"US$45,900","20,600 km",Automática - Secuencial,Gasolina
https://neoauto.com/auto/seminuevo/mercedes-benz-gle-400-4matic-2018-1868321,https://cdn.neoauto.com/elements/autos_usados/360x240/746429/746429_3628925.webp,Mercedes-Benz,Mercedes Benz Gle 400 4matic 2018,2018,"US$32,990","70,000 km",Automática,Gasolina
